Timestamp,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Usage(%),GPU_Memory_Access_Usage(%)
2024-06-22 18:15:45,0.00,0.03,0,0,2
2024-06-22 18:15:46,0.00,0.12,0,1.00,2
2024-06-22 18:15:47,0.00,0.88,99,10.00,2
2024-06-22 18:15:48,0.00,0.88,99,13.00,3
2024-06-22 18:15:49,0.01,0.88,99,13.00,3
2024-06-22 18:15:50,0.01,0.88,99,13.00,3
2024-06-22 18:15:51,0.01,0.88,99,13.00,3
2024-06-22 18:15:52,0.01,0.88,99,14.00,3
2024-06-22 18:15:53,0.01,0.89,99,14.00,3
2024-06-22 18:15:54,0.01,0.89,99,14.00,3
2024-06-22 18:15:55,0.02,0.89,99,14.00,4
2024-06-22 18:15:56,0.02,0.89,99,14.00,2
2024-06-22 18:15:57,0.02,0.89,99,14.00,3
2024-06-22 18:15:58,0.02,0.89,99,14.00,3
2024-06-22 18:15:59,0.02,0.89,99,14.00,3
2024-06-22 18:16:00,0.03,0.89,99,14.00,3
2024-06-22 18:16:01,0.03,0.89,99,14.00,2
2024-06-22 18:16:02,0.03,0.89,99,14.00,3
2024-06-22 18:16:03,0.03,0.89,99,14.00,2
2024-06-22 18:16:04,0.03,0.89,99,14.00,4
2024-06-22 18:16:06,0.03,0.89,99,14.00,3
2024-06-22 18:16:07,0.04,0.89,99,14.00,3
2024-06-22 18:16:08,0.04,0.89,99,14.00,3
2024-06-22 18:16:09,0.04,0.89,99,14.00,2
2024-06-22 18:16:10,0.04,0.89,99,14.00,3
2024-06-22 18:16:11,0.04,0.89,99,14.00,4
2024-06-22 18:16:12,0.04,0.89,99,14.00,2
2024-06-22 18:16:13,0.05,0.89,99,14.00,3
2024-06-22 18:16:14,0.05,0.89,99,14.00,3
2024-06-22 18:16:15,0.05,0.89,99,14.00,2
2024-06-22 18:16:16,0.05,0.89,99,14.00,3
2024-06-22 18:16:17,0.05,0.89,99,14.00,2
2024-06-22 18:16:18,0.05,0.89,99,14.00,2
2024-06-22 18:16:19,0.06,0.89,99,14.00,2
2024-06-22 18:16:20,0.06,0.89,99,14.00,2
2024-06-22 18:16:21,0.06,0.89,99,14.00,2
2024-06-22 18:16:22,0.06,0.89,99,14.00,2
2024-06-22 18:16:23,0.06,0.89,99,14.00,3
2024-06-22 18:16:24,0.07,0.89,99,14.00,3
2024-06-22 18:16:25,0.07,0.89,99,14.00,2
2024-06-22 18:16:27,0.07,0.89,99,14.00,2
2024-06-22 18:16:28,0.07,0.89,99,14.00,2
2024-06-22 18:16:29,0.07,0.89,99,14.00,3
2024-06-22 18:16:30,0.07,0.89,99,14.00,2
2024-06-22 18:16:31,0.08,0.89,99,14.00,3
2024-06-22 18:16:32,0.08,0.89,99,14.00,2
2024-06-22 18:16:33,0.08,0.89,99,14.00,3
2024-06-22 18:16:34,0.08,0.89,99,14.00,2
2024-06-22 18:16:35,0.08,0.89,99,14.00,3
2024-06-22 18:16:36,0.08,0.89,99,14.00,2
2024-06-22 18:16:37,0.09,0.89,99,14.00,2
2024-06-22 18:16:38,0.09,0.89,99,14.00,2
2024-06-22 18:16:39,0.09,0.89,99,14.00,3
2024-06-22 18:16:40,0.09,0.89,99,14.00,2
2024-06-22 18:16:41,0.09,0.89,99,14.00,3
2024-06-22 18:16:42,0.09,0.89,99,14.00,2
2024-06-22 18:16:43,0.10,0.89,99,14.00,3
2024-06-22 18:16:44,0.10,0.89,99,14.00,2
2024-06-22 18:16:45,0.10,0.89,99,14.00,3
2024-06-22 18:16:46,0.10,0.89,99,14.00,3
2024-06-22 18:16:48,0.10,0.89,99,14.00,2
2024-06-22 18:16:49,0.10,0.89,99,14.00,3
2024-06-22 18:16:50,0.11,0.89,99,14.00,2
2024-06-22 18:16:51,0.11,0.89,99,14.00,3
2024-06-22 18:16:52,0.11,0.89,100,14.00,2
