timestamp, utilization.gpu [%], utilization.memory [%]
2024/06/17 10:14:17.500, 0 %, 3 %
2024/06/17 10:14:18.501, 0 %, 3 %
2024/06/17 10:14:19.502, 63 %, 17 %
2024/06/17 10:14:20.502, 62 %, 17 %
2024/06/17 10:14:21.503, 94 %, 13 %
2024/06/17 10:14:22.503, 95 %, 13 %
2024/06/17 10:14:23.504, 95 %, 13 %
2024/06/17 10:14:24.504, 95 %, 12 %
2024/06/17 10:14:25.505, 95 %, 13 %
2024/06/17 10:14:26.505, 94 %, 13 %
2024/06/17 10:14:27.506, 95 %, 13 %
2024/06/17 10:14:28.506, 94 %, 14 %
2024/06/17 10:14:29.507, 94 %, 12 %
2024/06/17 10:14:30.507, 94 %, 13 %
2024/06/17 10:14:31.508, 94 %, 13 %
2024/06/17 10:14:32.508, 94 %, 14 %
2024/06/17 10:14:33.509, 94 %, 14 %
2024/06/17 10:14:34.510, 94 %, 15 %
2024/06/17 10:14:35.511, 94 %, 15 %
2024/06/17 10:14:36.511, 94 %, 14 %
2024/06/17 10:14:37.512, 94 %, 13 %
2024/06/17 10:14:38.512, 93 %, 14 %
2024/06/17 10:14:39.513, 94 %, 14 %
2024/06/17 10:14:40.513, 94 %, 13 %
2024/06/17 10:14:41.514, 95 %, 11 %
2024/06/17 10:14:42.515, 94 %, 13 %
2024/06/17 10:14:43.515, 94 %, 13 %
2024/06/17 10:14:44.516, 94 %, 13 %
2024/06/17 10:14:45.516, 94 %, 13 %
2024/06/17 10:14:46.517, 94 %, 13 %
2024/06/17 10:14:47.517, 94 %, 13 %
