Timestamp,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Usage(%)
2024-06-18 14:35:16,0.00,0.01,0, 3
2024-06-18 14:35:17,0.00,0.11,0, 3
2024-06-18 14:35:18,0.01,1.55,16, 3
2024-06-18 14:35:19,0.02,1.71,19, 3
2024-06-18 14:35:20,0.02,1.71,19, 3
2024-06-18 14:35:21,0.03,1.71,16, 3
2024-06-18 14:35:22,0.04,1.71,19, 3
2024-06-18 14:35:23,0.05,1.71,19, 3
2024-06-18 14:35:24,0.06,1.71,19, 3
2024-06-18 14:35:25,0.06,1.71,19, 3
2024-06-18 14:35:26,0.07,1.71,19, 3
2024-06-18 14:35:27,0.08,1.71,18, 3
2024-06-18 14:35:28,0.09,1.71,22, 4
2024-06-18 14:35:29,0.09,1.71,20, 3
2024-06-18 14:35:30,0.10,1.71,22, 3
2024-06-18 14:35:31,0.11,1.71,16, 3
2024-06-18 14:35:32,0.12,1.71,24, 4
2024-06-18 14:35:33,0.12,1.71,25, 3
2024-06-18 14:35:34,0.13,1.71,40, 3
2024-06-18 14:35:35,0.14,1.71,22, 2
2024-06-18 14:35:36,0.15,1.71,41, 3
2024-06-18 14:35:37,0.15,1.71,34, 3
2024-06-18 14:35:38,0.16,1.71,32, 3
2024-06-18 14:35:39,0.17,1.71,28, 3
2024-06-18 14:35:40,0.18,1.71,30, 3
2024-06-18 14:35:41,0.18,1.71,39, 4
2024-06-18 14:35:42,0.19,1.71,40, 3
2024-06-18 14:35:43,0.20,1.71,40, 3
2024-06-18 14:35:44,0.20,1.71,40, 3
2024-06-18 14:35:45,0.21,1.71,20, 2
2024-06-18 14:35:46,0.22,1.71,20, 2
2024-06-18 14:35:48,0.23,1.71,21, 2
2024-06-18 14:35:49,0.23,1.71,19, 2
2024-06-18 14:35:50,0.24,1.71,22, 2
2024-06-18 14:35:51,0.25,1.71,20, 2
2024-06-18 14:35:52,0.25,1.71,25, 2
2024-06-18 14:35:53,0.26,1.71,25, 3
2024-06-18 14:35:54,0.27,1.71,30, 3
2024-06-18 14:35:55,0.27,1.71,38, 3
2024-06-18 14:35:56,0.28,1.71,30, 3
2024-06-18 14:35:57,0.29,1.71,29, 3
2024-06-18 14:35:58,0.29,1.71,20, 2
2024-06-18 14:35:59,0.30,1.71,19, 2
2024-06-18 14:36:00,0.31,1.71,24, 2
